symbol,first_date,last_date,bars,full_history
360ONE,2022-01-03,2026-09-04,1158,True
3MINDIA,2022-01-03,2026-09-04,1157,True
AADHARHFC,2024-05-15,2026-09-04,577,False
AARTIIND,2022-01-03,2026-09-04,1159,True
AAVAS,2022-01-03,2026-09-04,1159,True
ABB,2022-01-03,2026-09-04,1159,True
ABBOTINDIA,2022-01-03,2026-09-04,1159,True
ABCAPITAL,2022-01-03,2026-09-04,1159,True
ABDL,2024-07-02,2026-09-04,544,False
ABFRL,2022-01-03,2026-09-04,1159,True
ABLBL,2025-06-24,2026-09-04,302,False
ABREL,2022-01-03,2026-09-04,1159,True
ABSLAMC,2022-01-03,2026-09-04,1159,True
ACC,2022-01-03,2026-09-04,1159,True
ACE,2022-01-03,2026-09-04,1159,True
ACMESOLAR,2024-11-13,2026-09-04,452,False
ACUTAAS,2022-01-03,2026-09-04,1159,True
ADANIENSOL,2022-01-03,2026-09-04,1159,True
ADANIENT,2022-01-03,2026-09-04,1159,True
ADANIGREEN,2022-01-03,2026-09-04,1159,True
ADANIPORTS,2022-01-03,2026-09-04,1159,True
ADANIPOWER,2022-01-03,2026-09-04,1159,True
AEGISLOG,2022-01-03,2026-09-04,1157,True
AEGISVOPAK,2025-06-16,2026-09-04,308,False
AFCONS,2024-11-04,2026-09-04,459,False
AFFLE,2022-01-03,2026-09-04,1159,True
AIAENG,2022-01-03,2026-09-04,1157,True
AIIL,2024-04-23,2026-09-04,592,False
AJANTPHARM,2022-01-03,2026-09-04,1158,True
ALKEM,2022-01-03,2026-09-04,1158,True
AMBER,2022-01-03,2026-09-04,1159,True
AMBUJACEM,2022-01-03,2026-09-04,1159,True
ANANDRATHI,2022-01-03,2026-09-04,1159,True
ANANTRAJ,2022-01-03,2026-09-04,1159,True
ANGELONE,2022-01-03,2026-09-04,1159,True
ANTHEM,2025-07-21,2026-09-04,283,False
ANURAS,2022-01-03,2026-09-04,1158,True
APARINDS,2022-01-03,2026-09-04,1159,True
APLAPOLLO,2022-01-03,2026-09-04,1159,True
APOLLOHOSP,2022-01-03,2026-09-04,1159,True
APOLLOTYRE,2022-01-03,2026-09-04,1159,True
APTUS,2022-01-03,2026-09-04,1159,True
ARE&M,2022-01-03,2026-09-04,1159,True
ASAHIINDIA,2022-01-03,2026-09-04,1159,True
ASHOKLEY,2022-01-03,2026-09-04,1159,True
ASIANPAINT,2022-01-03,2026-09-04,1159,True
ASTERDM,2022-01-03,2026-09-04,1159,True
ASTRAL,2022-01-03,2026-09-04,1159,True
ATGL,2022-01-03,2026-09-04,1159,True
ATHERENERG,2025-06-16,2026-09-04,308,False
ATUL,2022-01-03,2026-09-04,1159,True
AUBANK,2022-01-03,2026-09-04,1159,True
AUROPHARMA,2022-01-03,2026-09-04,1158,True
AWL,2022-02-08,2026-09-04,1134,True
AXISBANK,2022-01-03,2026-09-04,1159,True
BAJAJ-AUTO,2022-01-03,2026-09-04,1159,True
BAJAJFINSV,2022-01-03,2026-09-04,1159,True
BAJAJHFL,2024-09-16,2026-09-04,493,False
BAJAJHLDNG,2022-01-03,2026-09-04,1159,True
BAJFINANCE,2022-01-03,2026-09-04,1159,True
BALKRISIND,2022-01-03,2026-09-04,1158,True
BALRAMCHIN,2022-01-03,2026-09-04,1159,True
BANDHANBNK,2022-01-03,2026-09-04,1159,True
BANKBARODA,2022-01-03,2026-09-04,1159,True
BANKINDIA,2022-01-03,2026-09-04,1159,True
BATAINDIA,2022-01-03,2026-09-04,1159,True
BAYERCROP,2022-01-03,2026-09-04,1159,True
BBTC,2022-01-03,2026-09-04,1159,True
BDL,2022-01-03,2026-09-04,1159,True
BEL,2022-01-03,2026-09-04,1159,True
BELRISE,2025-06-16,2026-09-04,308,False
BEML,2022-01-03,2026-09-04,1159,True
BERGEPAINT,2022-01-03,2026-09-04,1159,True
BHARATFORG,2022-01-03,2026-09-04,1158,True
BHARTIARTL,2022-01-03,2026-09-04,1159,True
BHARTIHEXA,2024-04-12,2026-09-04,598,False
BHEL,2022-01-03,2026-09-04,1159,True
BIKAJI,2022-11-16,2026-09-04,943,False
BIOCON,2022-01-03,2026-09-04,1159,True
BLS,2022-01-03,2026-09-04,1159,True
BLUEDART,2022-01-03,2026-09-04,1159,True
BLUEJET,2023-11-01,2026-09-04,706,False
BLUESTARCO,2022-01-03,2026-09-04,1159,True
BOSCHLTD,2022-01-03,2026-09-04,1158,True
BPCL,2022-01-03,2026-09-04,1159,True
BRIGADE,2022-01-03,2026-09-04,1159,True
BRITANNIA,2022-01-03,2026-09-04,1159,True
BSE,2022-01-03,2026-09-04,1159,True
BSOFT,2022-01-03,2026-09-04,1159,True
CAMS,2022-01-03,2026-09-04,1159,True
CANBK,2022-01-03,2026-09-04,1159,True
CANFINHOME,2022-01-03,2026-09-04,1159,True
CANHLIFE,2025-10-17,2026-09-04,222,False
CAPLIPOINT,2022-01-03,2026-09-04,1158,True
CARBORUNIV,2022-01-03,2026-09-04,1158,True
CARTRADE,2022-01-03,2026-09-04,1159,True
CASTROLIND,2022-01-03,2026-09-04,1159,True
CCL,2022-01-03,2026-09-04,1159,True
CDSL,2022-01-03,2026-09-04,1159,True
CEATLTD,2022-01-03,2026-09-04,1159,True
CEMPRO,2022-01-03,2026-09-04,1159,True
CENTRALBK,2022-01-03,2026-09-04,1159,True
CESC,2025-06-16,2026-09-04,308,False
CGCL,2022-01-03,2026-09-04,1159,True
CGPOWER,2022-01-03,2026-09-04,1159,True
CHALET,2022-01-03,2026-09-04,1159,True
CHAMBLFERT,2022-01-03,2026-09-04,1159,True
CHENNPETRO,2022-01-03,2026-09-04,1159,True
CHOICEIN,2022-04-08,2026-09-04,1092,True
CHOLAFIN,2022-01-03,2026-09-04,1159,True
CHOLAHLDNG,2022-01-03,2026-09-04,1159,True
CIEINDIA,2022-01-03,2026-09-04,1157,True
CIPLA,2022-01-03,2026-09-04,1159,True
CLEAN,2022-01-03,2026-09-04,1159,True
COALINDIA,2022-01-03,2026-09-04,1159,True
COCHINSHIP,2022-01-03,2026-09-04,1159,True
COFORGE,2022-01-03,2026-09-04,1159,True
COHANCE,2022-01-03,2026-09-04,1159,True
COLPAL,2022-01-03,2026-09-04,1159,True
CONCOR,2022-01-03,2026-09-04,1159,True
CONCORDBIO,2023-08-18,2026-09-04,756,False
COROMANDEL,2022-01-03,2026-09-04,1159,True
CPPLUS,2025-08-05,2026-09-04,272,False
CRAFTSMAN,2022-01-03,2026-09-04,1157,True
CREDITACC,2022-01-03,2026-09-04,1159,True
CRISIL,2022-01-03,2026-09-04,1159,True
CROMPTON,2022-01-03,2026-09-04,1159,True
CUB,2022-01-03,2026-09-04,1159,True
CUMMINSIND,2022-01-03,2026-09-04,1159,True
CYIENT,2022-01-03,2026-09-04,1159,True
DABUR,2022-01-03,2026-09-04,1159,True
DALBHARAT,2022-01-03,2026-09-04,1158,True
DATAPATTNS,2022-01-03,2026-09-04,1159,True
DCMSHRIRAM,2022-01-03,2026-09-04,1158,True
DEEPAKFERT,2022-01-03,2026-09-04,1159,True
DEEPAKNTR,2022-01-03,2026-09-04,1158,True
DELHIVERY,2022-05-24,2026-09-04,1064,True
DEVYANI,2022-01-03,2026-09-04,1159,True
DIVISLAB,2022-01-03,2026-09-04,1158,True
DIXON,2022-01-03,2026-09-04,1159,True
DLF,2022-01-03,2026-09-04,1159,True
DMART,2022-01-03,2026-09-04,1159,True
DOMS,2023-12-20,2026-09-04,672,False
DRREDDY,2022-01-03,2026-09-04,1159,True
ECLERX,2022-01-03,2026-09-04,1159,True
EICHERMOT,2022-01-03,2026-09-04,1159,True
EIDPARRY,2022-01-03,2026-09-04,1158,True
EIHOTEL,2022-01-03,2026-09-04,1159,True
ELECON,2022-01-03,2026-09-04,1159,True
ELGIEQUIP,2022-01-03,2026-09-04,1159,True
EMAMILTD,2022-01-03,2026-09-04,1159,True
EMCURE,2024-07-10,2026-09-04,538,False
EMMVEE,2025-11-18,2026-09-04,202,False
ENDURANCE,2022-01-03,2026-09-04,1159,True
ENGINERSIN,2022-01-03,2026-09-04,1159,True
ENRIN,2025-06-19,2026-09-04,305,False
ERIS,2022-01-03,2026-09-04,1157,True
ESCORTS,2022-01-03,2026-09-04,1159,True
ETERNAL,2022-01-03,2026-09-04,1159,True
EXIDEIND,2022-01-03,2026-09-04,1159,True
FACT,2022-01-03,2026-09-04,1159,True
FEDERALBNK,2022-01-03,2026-09-04,1159,True
FINCABLES,2022-01-03,2026-09-04,1159,True
FIRSTCRY,2024-08-13,2026-09-04,516,False
FIVESTAR,2022-11-21,2026-09-04,940,False
FLUOROCHEM,2022-01-03,2026-09-04,1159,True
FORCEMOT,2022-01-03,2026-09-04,1118,True
FORTIS,2022-01-03,2026-09-04,1159,True
FSL,2022-01-03,2026-09-04,1159,True
GABRIEL,2022-01-03,2026-09-04,1159,True
GAIL,2022-01-03,2026-09-04,1159,True
GALLANTT,2022-01-03,2026-09-04,1158,True
GESHIP,2022-01-03,2026-09-04,1159,True
GICRE,2022-01-03,2026-09-04,1159,True
GILLETTE,2022-01-03,2026-09-04,1159,True
GLAND,2022-01-03,2026-09-04,1158,True
GLAXO,2022-01-03,2026-09-04,1159,True
GLENMARK,2022-01-03,2026-09-04,1159,True
GMDCLTD,2022-01-03,2026-09-04,1159,True
GMRAIRPORT,2022-01-03,2026-09-04,1159,True
GODFRYPHLP,2022-01-03,2026-09-04,1159,True
GODIGIT,2024-05-23,2026-09-04,571,False
GODREJCP,2022-01-03,2026-09-04,1159,True
GODREJIND,2022-01-03,2026-09-04,1159,True
GODREJPROP,2022-01-03,2026-09-04,1159,True
GPIL,2022-01-03,2026-09-04,1159,True
GRANULES,2022-01-03,2026-09-04,1158,True
GRAPHITE,2022-01-03,2026-09-04,1159,True
GRASIM,2022-01-03,2026-09-04,1159,True
GRAVITA,2022-01-03,2026-09-04,1159,True
GROWW,2025-11-12,2026-09-04,206,False
GRSE,2022-01-03,2026-09-04,1159,True
GVT&D,2022-01-03,2026-09-04,1159,True
HAL,2022-01-03,2026-09-04,1159,True
HAVELLS,2022-01-03,2026-09-04,1159,True
HBLENGINE,2022-01-03,2026-09-04,1159,True
HCLTECH,2022-01-03,2026-09-04,1159,True
HDBFS,2025-07-02,2026-09-04,296,False
HDFCAMC,2022-01-03,2026-09-04,1159,True
HDFCBANK,2022-01-03,2026-09-04,1159,True
HDFCLIFE,2022-01-03,2026-09-04,1159,True
HEG,2022-01-03,2026-09-04,1159,True
HEROMOTOCO,2022-01-03,2026-09-04,1159,True
HEXT,2025-06-16,2026-09-04,307,False
HFCL,2022-01-03,2026-09-04,1159,True
HINDALCO,2022-01-03,2026-09-04,1159,True
HINDCOPPER,2022-01-03,2026-09-04,1159,True
HINDPETRO,2022-01-03,2026-09-04,1159,True
HINDUNILVR,2022-01-03,2026-09-04,1159,True
HINDZINC,2022-01-03,2026-09-04,1159,True
HOMEFIRST,2022-01-03,2026-09-04,1158,True
HONASA,2023-11-07,2026-09-04,701,False
HONAUT,2022-01-03,2026-09-04,1157,True
HSCL,2022-01-03,2026-09-04,1159,True
HUDCO,2022-01-03,2026-09-04,1159,True
HYUNDAI,2024-10-22,2026-09-04,468,False
ICICIAMC,2025-12-19,2026-09-04,179,False
ICICIBANK,2022-01-03,2026-09-04,1159,True
ICICIGI,2022-01-03,2026-09-04,1159,True
ICICIPRULI,2022-01-03,2026-09-04,1159,True
